Date,Open,High,Low,Close,Adj Close,Volume
2015-03-16,29160,29740,29100,29400,285.111786,8974550
2015-03-17,29400,30000,29200,29940,290.348572,13661150
2015-03-18,29920,30120,29720,30060,291.512238,12464350
2015-03-19,30200,30200,29400,29400,285.111786,13225800
2015-03-20,29500,29600,29200,29280,283.94812,12704950
2015-03-23,29240,29480,29160,29340,284.529907,8122900
2015-03-24,29100,29560,29100,29520,286.275543,9113150
2015-03-25,29740,29760,29440,29700,288.021179,9369050
2015-03-26,29000,29120,28420,28420,275.608093,21005950
2015-03-27,28300,28960,28300,28420,275.608093,16065800
2015-03-30,28500,28680,28240,28560,276.96579,8955500
2015-03-31,28980,29040,28600,28820,279.487152,9842650
2015-04-01,28740,28740,28400,28460,275.995972,7266050
2015-04-02,28680,28800,28460,28680,278.129456,6903400
2015-04-03,28680,28800,28400,28680,278.129456,6270150
2015-04-06,28860,29800,28700,29400,285.111786,10582600
2015-04-07,29560,29700,29240,29240,283.56015,9526050
2015-04-08,29400,29700,29200,29580,286.857361,7773400
2015-04-09,29400,29780,29400,29660,287.633209,9107550
2015-04-10,29600,29880,29560,29800,288.990875,9960100
2015-04-13,29580,29820,29360,29580,286.857361,10293300
2015-04-14,29700,29700,29300,29480,285.887604,9429750
2015-04-15,29200,29400,28540,28920,280.45697,13551050
2015-04-16,29240,29540,28940,29540,286.469482,10762350
2015-04-17,29540,29560,28940,29000,281.232727,10172300
2015-04-20,28920,28960,28460,28600,277.353668,12394900
2015-04-21,28420,28900,28400,28880,280.069031,11852650
2015-04-22,28880,29460,28720,29220,283.366241,12655550
2015-04-23,29400,29400,28800,29020,281.426697,9245150
2015-04-24,28980,29100,28000,28200,273.474609,19089900
2015-04-27,28200,28220,27500,27900,270.565308,16517150
2015-04-28,27800,28000,27180,27320,264.940643,15697300
2015-04-29,27340,27880,27280,27700,268.625732,10895650
2015-04-30,27700,28360,27580,28200,273.474609,18352850
2015-05-04,28140,28460,27940,28000,271.535034,8283700
2015-05-06,27800,27820,27120,27240,264.164825,13270500
2015-05-07,27240,27500,27080,27400,265.716461,10257400
2015-05-08,27320,27400,26760,26760,259.509918,9488100
2015-05-11,27200,27200,26720,26720,259.12204,9640450
2015-05-12,26900,27060,26480,26620,258.152252,10633200
2015-05-13,26980,26980,26520,26660,258.540161,9877250
2015-05-14,26820,26860,26560,26800,259.897827,8488500
2015-05-15,27100,27120,26420,26520,257.182495,8922350
2015-05-18,26700,26700,26180,26400,256.018768,9626850
2015-05-19,26420,27100,26140,26760,259.509918,8680900
2015-05-20,26980,27400,26820,27320,264.940643,10291450
2015-05-21,27420,27440,26880,27040,262.225281,7210600
2015-05-22,27060,27060,26700,27000,261.837372,8195800
2015-05-26,27320,27380,26720,27240,264.164825,10034150
2015-05-27,27200,27320,26260,26280,254.855087,17265450
2015-05-28,26340,26420,26020,26180,253.8853,15048150
2015-05-29,26400,26420,25940,26140,253.497406,17380750
