,Date,Open,High,Low,Close,Volume,index,Change,change_ratio,Open_R,High_R,Low_R,Vol_R,max_10_R,min_10_R,max_20_R,min_20_R,max_55_R,min_55_R,max_60_R,min_60_R,event,order,position,buy_type,buy_price,open_profit,close_profit,winnloss,cum_profit,day20_profit,kospi close,kospi change_r
1799,2018-04-19,52000,52980,51540,52780,343811,20180419,1420.0,0.02765,0.012461059190031152,0.03154205607476635,0.0035046728971962616,0.27691,0.0,0.0905,0.0,0.12489,0.0,0.18076,0.0,0.18076,1,1,1,S2,52780,0,0,1,13080,0.0,2486.10009765625,0.00247
1815,2018-05-15,50200,50400,49100,49200,18709146,20180515,-900.0,-0.01796,0.001996007984031936,0.005988023952095809,-0.01996007984031936,0.25487,-0.0717,0.0,-0.0717,0.0,-0.0717,0.0885,-0.0717,0.0885,1,-1,0,S2,0,0,-3580,0,9500,-3580.0,2458.5400390625,-0.0071
1888,2018-08-30,46950,47950,46700,47650,12193231,20180830,850.0,0.01816,0.003205128205128205,0.024572649572649572,-0.002136752136752137,1.18816,0.0,0.08666,0.0,0.08666,-0.01141,0.08666,-0.07115,0.08666,1,1,1,S1,47650,0,0,0,9500,0.0,2307.35009765625,-0.00073
1893,2018-09-06,46200,46400,45800,46100,9040553,20180906,-500.0,-0.01073,-0.008583690987124463,-0.004291845493562232,-0.017167381974248927,-0.01088,-0.0485,0.0,-0.0485,0.05131,-0.0485,0.05131,-0.0485,0.05131,1,-1,0,S1,0,0,-1550,0,7950,-1550.0,2287.610107421875,-0.00182
1934,2018-11-09,44450,44850,43900,44300,7318500,20181109,250.0,0.005679999999999999,0.009080590238365494,0.018161180476730987,-0.00340522133938706,-0.41997,0.0,0.07005,0.0,0.08049,-0.08566,0.08049,-0.08566,0.08049,1,1,1,S1,44300,0,0,0,7950,0.0,2086.090087890625,-0.00313
1940,2018-11-19,44050,44250,43450,43650,7538720,20181119,-350.0,-0.00795,0.0011363636363636363,0.005681818181818182,-0.0125,-0.03065,-0.03429,0.0,-0.03429,0.06463,-0.09907,0.06463,-0.09907,0.06463,1,-1,0,S1,0,0,-650,0,7300,-650.0,2100.56005859375,0.0039
1976,2019-01-11,40350,40550,39950,40500,11661063,20190111,700.0,0.01759,0.013819095477386936,0.018844221105527637,0.0037688442211055275,-0.20844,0.0,0.08144,0.0,0.08144,-0.10398,0.08144,-0.10398,0.08144,1,1,1,S1,40500,0,0,0,7300,0.0,2075.570068359375,0.00596
2007,2019-02-28,46400,46500,45100,45100,23569321,20190228,-1650.0,-0.035289999999999995,-0.0074866310160427805,-0.0053475935828877,-0.03529411764705882,1.92961,-0.04752,0.0,-0.05053,0.0067,-0.05053,0.20427,-0.05053,0.20427,1,-1,0,S1,0,0,4600,1,11900,4600.0,2195.43994140625,-0.01761
2105,2019-07-22,46800,47300,46600,47200,9009109,20190722,400.0,0.00855,0.0,0.010683760683760684,-0.004273504273504274,0.02151,0.0,0.04656,0.0,0.06306,0.0,0.14563,0.0,0.14563,1,1,1,S2,47200,0,0,1,11900,0.0,2093.340087890625,-0.00049
2115,2019-08-05,44350,44600,43600,43950,14214086,20190805,-1000.0,-0.02225,-0.013348164627363738,-0.00778642936596218,-0.030033370411568408,0.16975,-0.07082,0.0,-0.07082,0.0,-0.07082,0.05144,-0.07082,0.06675,1,-1,0,S2,0,0,-3250,0,8650,-3250.0,1946.97998046875,-0.0256
2137,2019-09-05,44800,46100,44450,45700,18297430,20190905,1600.0,0.03628,0.015873015873015872,0.045351473922902494,0.007936507936507936,0.47064,0.0,0.05665,0.0,0.07151,-0.03383,0.07151,-0.03383,0.07151,1,1,1,S1,45700,0,0,0,8650,0.0,2004.75,0.008159999999999999
2154,2019-10-02,48350,48400,47600,47600,8382463,20191002,-1250.0,-0.02559,-0.01023541453428864,-0.009211873080859774,-0.0255885363357216,0.3507,-0.03838,0.0,-0.03838,0.10058,-0.03838,0.11606,-0.03838,0.11606,1,-1,0,S1,0,0,1900,1,10550,1900.0,2031.9100341796875,-0.01955
2160,2019-10-14,50000,50300,49850,50000,11130635,20191014,850.0,0.01729,0.017293997965412006,0.023397761953204477,0.014242115971515769,0.43007,0.0,0.05042,0.0,0.0661,0.0,0.17233,0.0,0.17233,1,1,1,S2,50000,0,0,1,10550,1900.0,2067.39990234375,0.01115
2194,2019-11-29,51200,51400,50200,50300,11179334,20191129,-1000.0,-0.01949,-0.001949317738791423,0.001949317738791423,-0.021442495126705652,0.63587,-0.05981,0.0,-0.06331,0.0,-0.06331,0.07249,-0.06331,0.16301,1,-1,0,S2,0,0,300,1,10850,300.0,2087.9599609375,-0.014459999999999999
2204,2019-12-13,54500,54800,53900,54700,18120261,20191213,1400.0,0.026269999999999998,0.0225140712945591,0.028142589118198873,0.01125703564727955,-0.37899,0.0,0.10617,0.0,0.10617,0.0,0.14916,0.0,0.14916,1,1,1,S2,54700,0,0,1,10850,300.0,2170.25,0.015390000000000001
2253,2020-02-27,56300,56900,55500,55900,23209541,20200227,-600.0,-0.010620000000000001,-0.0035398230088495575,0.007079646017699115,-0.017699115044247787,-0.08922,-0.09547,0.0,-0.09547,0.0,-0.10417,0.10913,-0.10417,0.13043,1,-1,0,S2,0,0,1200,1,12050,1200.0,2054.889892578125,-0.01054
